jam,sinyal,winrate%,ekspektansi$,total_pnl$,bar
00:xx,10.0,100.0,2.0,20.0,████████████████████
01:xx,9.0,100.0,2.0,18.0,████████████████████
02:xx,14.0,57.1,-0.129,-1.8,███████████
03:xx,22.0,90.9,1.589,35.0,██████████████████
05:xx,15.0,73.3,0.619,9.3,██████████████
06:xx,17.0,82.4,1.052,17.9,████████████████
07:xx,6.0,83.3,1.232,7.4,████████████████
08:xx,7.0,71.4,0.463,3.2,██████████████
09:xx,23.0,95.7,1.781,41.0,███████████████████
10:xx,16.0,68.8,0.424,6.8,█████████████
11:xx,24.0,83.3,1.172,28.1,████████████████
12:xx,16.0,81.2,1.126,18.0,████████████████
13:xx,15.0,86.7,1.292,19.4,█████████████████
14:xx,15.0,80.0,0.937,14.1,████████████████
15:xx,6.0,66.7,0.126,0.8,█████████████
16:xx,4.0,50.0,-0.883,-3.5,██████████
17:xx,13.0,100.0,2.0,26.0,████████████████████
18:xx,5.0,100.0,2.0,10.0,████████████████████
19:xx,7.0,85.7,1.162,8.1,█████████████████
21:xx,2.0,100.0,2.0,4.0,████████████████████
22:xx,4.0,25.0,-2.252,-9.0,█████
23:xx,16.0,93.8,1.639,26.2,██████████████████
