datetime,sinyal,entry,tp_price,sl_price,tp_jarak,sl_jarak,rr,prob_menang,hasil,sesuai_sinyal,pnl,ekuitas
2026-05-01 09:10:00,BUY,4565.84,4567.84,4563.24,2.0,2.6,0.77,85.2,MENANG (TP),SESUAI,2.0,2.0
2026-05-01 11:00:00,BUY,4567.34,4569.34,4563.41,2.0,3.93,0.51,85.0,KALAH (SL),TIDAK SESUAI,-3.93,-1.93
2026-05-04 23:00:00,BUY,4518.54,4520.54,4514.77,2.0,3.77,0.53,86.0,MENANG (TP),SESUAI,2.0,0.07
2026-05-05 09:30:00,BUY,4553.62,4555.62,4550.12,2.0,3.5,0.57,86.3,MENANG (TP),SESUAI,2.0,2.07
2026-05-05 12:00:00,BUY,4556.85,4558.85,4552.98,2.0,3.87,0.52,92.5,MENANG (TP),SESUAI,2.0,4.07
2026-05-05 12:50:00,BUY,4563.2,4565.2,4560.41,2.0,2.79,0.72,90.7,MENANG (TP),SESUAI,2.0,6.07
2026-05-05 13:40:00,BUY,4573.97,4575.97,4570.34,2.0,3.63,0.55,91.9,MENANG (TP),SESUAI,2.0,8.07
2026-05-06 16:20:00,BUY,4683.34,4685.34,4679.86,2.0,3.48,0.57,86.3,MENANG (TP),SESUAI,2.0,10.07
2026-05-07 02:35:00,BUY,4702.29,4704.29,4698.63,2.0,3.66,0.55,88.2,MENANG (TP),SESUAI,2.0,12.07
2026-05-07 07:45:00,BUY,4738.96,4740.96,4735.51,2.0,3.45,0.58,91.6,MENANG (TP),SESUAI,2.0,14.07
2026-05-07 08:50:00,BUY,4734.32,4736.32,4730.59,2.0,3.73,0.54,90.1,KALAH (SL),TIDAK SESUAI,-3.73,10.34
2026-05-11 20:50:00,BUY,4734.78,4736.78,4731.91,2.0,2.87,0.7,87.9,MENANG (TP),SESUAI,2.0,12.34
2026-05-11 20:55:00,BUY,4734.82,4736.82,4731.93,2.0,2.89,0.69,87.1,MENANG (TP),SESUAI,2.0,14.34
2026-05-12 06:55:00,BUY,4697.58,4699.58,4693.83,2.0,3.75,0.53,87.3,KALAH (SL),TIDAK SESUAI,-3.75,10.59
2026-05-12 17:45:00,BUY,4678.5,4680.5,4675.02,2.0,3.48,0.57,86.9,MENANG (TP),SESUAI,2.0,12.59
2026-05-12 17:55:00,BUY,4678.85,4680.85,4675.09,2.0,3.76,0.53,87.9,MENANG (TP),SESUAI,2.0,14.59
2026-05-12 18:00:00,BUY,4678.98,4680.98,4675.07,2.0,3.91,0.51,92.4,MENANG (TP),SESUAI,2.0,16.59
2026-05-12 20:40:00,BUY,4714.64,4716.64,4711.54,2.0,3.1,0.65,86.5,MENANG (TP),SESUAI,2.0,18.59
2026-05-12 20:45:00,BUY,4715.15,4717.15,4711.56,2.0,3.59,0.56,88.6,MENANG (TP),SESUAI,2.0,20.59
2026-05-12 20:50:00,BUY,4713.4,4715.4,4711.57,2.0,1.83,1.09,87.7,MENANG (TP),SESUAI,2.0,22.59
2026-05-13 03:05:00,BUY,4689.46,4691.46,4686.4,2.0,3.06,0.65,85.7,MENANG (TP),SESUAI,2.0,24.59
2026-05-13 11:05:00,BUY,4694.48,4696.48,4690.52,2.0,3.96,0.5,86.4,MENANG (TP),SESUAI,2.0,26.59
2026-05-18 03:00:00,BUY,4530.98,4532.98,4527.36,2.0,3.62,0.55,86.6,MENANG (TP),SESUAI,2.0,28.59
2026-05-19 20:00:00,BUY,4482.48,4484.48,4480.05,2.0,2.43,0.82,85.5,MENANG (TP),SESUAI,2.0,30.59
2026-05-19 20:35:00,BUY,4483.36,4485.36,4480.14,2.0,3.22,0.62,87.7,MENANG (TP),SESUAI,2.0,32.59
2026-05-19 20:40:00,BUY,4483.32,4485.32,4480.16,2.0,3.16,0.63,87.3,MENANG (TP),SESUAI,2.0,34.59
2026-05-19 20:45:00,BUY,4483.24,4485.24,4480.19,2.0,3.05,0.66,85.1,MENANG (TP),SESUAI,2.0,36.59
2026-05-25 12:15:00,BUY,4554.3,4556.3,4552.52,2.0,1.78,1.12,86.4,MENANG (TP),SESUAI,2.0,38.59
2026-05-25 12:20:00,BUY,4556.46,4558.46,4552.5,2.0,3.96,0.51,85.7,MENANG (TP),SESUAI,2.0,40.59
2026-05-27 00:50:00,BUY,4517.02,4519.02,4513.17,2.0,3.85,0.52,86.6,MENANG (TP),SESUAI,2.0,42.59
2026-05-27 02:15:00,BUY,4499.77,4501.77,4496.98,2.0,2.79,0.72,86.3,MENANG (TP),SESUAI,2.0,44.59
2026-05-27 17:10:00,BUY,4443.86,4445.86,4440.09,2.0,3.77,0.53,86.0,MENANG (TP),SESUAI,2.0,46.59
2026-05-27 18:10:00,BUY,4450.21,4452.21,4446.68,2.0,3.53,0.57,87.9,MENANG (TP),SESUAI,2.0,48.59
2026-05-28 04:25:00,BUY,4368.58,4370.58,4364.98,2.0,3.6,0.56,86.0,MENANG (TP),SESUAI,2.0,50.59
